,bin_trial,split_by,type,samp,Unnamed: 0,subj_idx,response,rt,trial,feedback,upper_hpd,lower_hpd,up_err,low_err,model
79,19,1,simulated,5.5,72019.0,23.0,0.64,0.5606200741895904,20.0,0.5711111111111111,0.8444444444444444,0.5111111111111111,0.20444444444444443,0.12888888888888894,RLDDM_single_learning
80,20,0,observed,0.0,25088.88888888889,23.0,0.4444444444444444,0.6432,21.0,0.5111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.0,RLDDM_single_learning
81,20,0,simulated,5.5,71860.0,23.0,0.6533333333333333,0.4993779798468053,21.0,0.5555555555555556,0.7333333333333333,0.5555555555555556,0.07999999999999996,0.09777777777777774,RLDDM_single_learning
82,20,1,observed,0.0,25089.88888888889,23.0,0.4888888888888889,0.5030222222222223,21.0,0.4222222222222222,0.4888888888888889,0.4888888888888889,0.0,0.0,RLDDM_single_learning
83,20,1,simulated,5.5,72020.0,23.0,0.6244444444444445,0.5456178519673008,21.0,0.5311111111111111,0.7777777777777778,0.4666666666666667,0.15333333333333332,0.1577777777777778,RLDDM_single_learning
84,21,0,observed,0.0,25090.88888888889,23.0,0.24444444444444444,0.5630222222222222,22.0,0.6222222222222222,0.24444444444444444,0.24444444444444444,0.0,0.0,RLDDM_single_learning
85,21,0,simulated,5.5,71861.0,23.0,0.6644444444444445,0.5390090909579742,22.0,0.5466666666666666,0.7333333333333333,0.6222222222222222,0.06888888888888878,0.04222222222222227,RLDDM_single_learning
86,21,1,observed,0.0,25091.88888888889,23.0,0.4,0.5677777777777778,22.0,0.6,0.4,0.4,0.0,0.0,RLDDM_single_learning
87,21,1,simulated,5.5,72021.0,23.0,0.6644444444444444,0.5274889630785662,22.0,0.5177777777777778,0.7555555555555555,0.5333333333333333,0.09111111111111114,0.13111111111111107,RLDDM_single_learning
88,22,0,observed,0.0,25092.88888888889,23.0,0.5777777777777777,0.6053999999999999,23.0,0.4222222222222222,0.5777777777777777,0.5777777777777777,0.0,0.0,RLDDM_single_learning
89,22,0,simulated,5.5,71862.0,23.0,0.64,0.5377002020689868,23.0,0.5688888888888888,0.7111111111111111,0.5555555555555556,0.07111111111111112,0.08444444444444443,RLDDM_single_learning
90,22,1,observed,0.0,25093.88888888889,23.0,0.3333333333333333,0.6119555555555556,23.0,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,RLDDM_single_learning
91,22,1,simulated,5.5,72022.0,23.0,0.6533333333333333,0.5563622964118646,23.0,0.5733333333333334,0.7777777777777778,0.5333333333333333,0.12444444444444447,0.12,RLDDM_single_learning
92,23,0,observed,0.0,25094.88888888889,23.0,0.4888888888888889,0.6389555555555556,24.0,0.5777777777777777,0.4888888888888889,0.4888888888888889,0.0,0.0,RLDDM_single_learning
93,23,0,simulated,5.5,71863.0,23.0,0.6399999999999999,0.5109402020689779,24.0,0.5644444444444444,0.7777777777777778,0.5333333333333333,0.1377777777777779,0.10666666666666658,RLDDM_single_learning
94,23,1,observed,0.0,25095.88888888889,23.0,0.37777777777777777,0.5183555555555556,24.0,0.4666666666666667,0.37777777777777777,0.37777777777777777,0.0,0.0,RLDDM_single_learning
95,23,1,simulated,5.5,72023.0,23.0,0.6599999999999999,0.5591200741896701,24.0,0.5466666666666666,0.7555555555555555,0.6,0.09555555555555562,0.05999999999999994,RLDDM_single_learning
96,24,0,observed,0.0,25096.88888888889,23.0,0.4222222222222222,0.5932,25.0,0.6666666666666666,0.4222222222222222,0.4222222222222222,0.0,0.0,RLDDM_single_learning
97,24,0,simulated,5.5,71864.0,23.0,0.6444444444444445,0.5249268687356671,25.0,0.5333333333333333,0.7555555555555555,0.5555555555555556,0.11111111111111105,0.0888888888888889,RLDDM_single_learning
98,24,1,observed,0.0,25097.88888888889,23.0,0.28888888888888886,0.5969555555555556,25.0,0.6666666666666666,0.28888888888888886,0.28888888888888886,0.0,0.0,RLDDM_single_learning
99,24,1,simulated,5.5,72024.0,23.0,0.6399999999999999,0.5617734075229242,25.0,0.5599999999999999,0.7333333333333333,0.5333333333333333,0.09333333333333338,0.10666666666666658,RLDDM_single_learning
100,25,0,observed,0.0,25098.88888888889,23.0,0.37777777777777777,0.6403555555555556,26.0,0.5111111111111111,0.37777777777777777,0.37777777777777777,0.0,0.0,RLDDM_single_learning
101,25,0,simulated,5.5,71865.0,23.0,0.6444444444444445,0.5147824242912193,26.0,0.5755555555555556,0.8222222222222222,0.4222222222222222,0.1777777777777777,0.22222222222222227,RLDDM_single_learning
102,25,1,observed,0.0,25099.88888888889,23.0,0.35555555555555557,0.5140666666666667,26.0,0.5777777777777777,0.35555555555555557,0.35555555555555557,0.0,0.0,RLDDM_single_learning
103,25,1,simulated,5.5,72025.0,23.0,0.611111111111111,0.5383267408561339,26.0,0.5288888888888889,0.6888888888888889,0.5111111111111111,0.07777777777777783,0.09999999999999998,RLDDM_single_learning
104,26,0,observed,0.0,25100.88888888889,23.0,0.35555555555555557,0.5979777777777777,27.0,0.5777777777777777,0.35555555555555557,0.35555555555555557,0.0,0.0,RLDDM_single_learning
105,26,0,simulated,5.5,71866.0,23.0,0.6466666666666667,0.5156513131801174,27.0,0.5222222222222223,0.7777777777777778,0.4888888888888889,0.13111111111111107,0.15777777777777785,RLDDM_single_learning
106,26,1,observed,0.0,25101.88888888889,23.0,0.3333333333333333,0.4926888888888889,27.0,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,RLDDM_single_learning
107,26,1,simulated,5.5,72026.0,23.0,0.6599999999999999,0.5417067408563309,27.0,0.5644444444444444,0.7333333333333333,0.5777777777777777,0.07333333333333336,0.0822222222222222,RLDDM_single_learning
108,27,0,observed,0.0,25102.88888888889,23.0,0.35555555555555557,0.6067333333333333,28.0,0.5333333333333333,0.35555555555555557,0.35555555555555557,0.0,0.0,RLDDM_single_learning
109,27,0,simulated,5.5,71867.0,23.0,0.6222222222222222,0.5227913131800218,28.0,0.58,0.7555555555555555,0.5111111111111111,0.1333333333333333,0.11111111111111116,RLDDM_single_learning
110,27,1,observed,0.0,25103.88888888889,23.0,0.35555555555555557,0.5347111111111111,28.0,0.5333333333333333,0.35555555555555557,0.35555555555555557,0.0,0.0,RLDDM_single_learning
111,27,1,simulated,5.5,72027.0,23.0,0.6311111111111111,0.5714334075228917,28.0,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.14666666666666672,0.18666666666666665,RLDDM_single_learning
112,28,0,observed,0.0,25104.88888888889,23.0,0.3333333333333333,0.6471333333333333,29.0,0.6888888888888889,0.3333333333333333,0.3333333333333333,0.0,0.0,RLDDM_single_learning
113,28,0,simulated,5.5,71868.0,23.0,0.6155555555555556,0.526169090957774,29.0,0.5511111111111111,0.7333333333333333,0.5111111111111111,0.11777777777777765,0.10444444444444456,RLDDM_single_learning
114,28,1,observed,0.0,25105.88888888889,23.0,0.37777777777777777,0.49491111111111113,29.0,0.6444444444444445,0.37777777777777777,0.37777777777777777,0.0,0.0,RLDDM_single_learning
115,28,1,simulated,5.5,72028.0,23.0,0.6333333333333333,0.5240334075228847,29.0,0.5555555555555556,0.7777777777777778,0.5111111111111111,0.1444444444444445,0.12222222222222223,RLDDM_single_learning
116,29,0,observed,0.0,25106.88888888889,23.0,0.35555555555555557,0.6793111111111111,30.0,0.5333333333333333,0.35555555555555557,0.35555555555555557,0.0,0.0,RLDDM_single_learning
117,29,0,simulated,5.5,71869.0,23.0,0.6311111111111111,0.5259602020689473,30.0,0.5511111111111111,0.7111111111111111,0.5111111111111111,0.08000000000000007,0.12,RLDDM_single_learning
118,29,1,observed,0.0,25107.88888888889,23.0,0.2222222222222222,0.5448222222222222,30.0,0.6888888888888889,0.2222222222222222,0.2222222222222222,0.0,0.0,RLDDM_single_learning
119,29,1,simulated,5.5,72029.0,23.0,0.6377777777777778,0.5473845186340215,30.0,0.5511111111111111,0.6888888888888889,0.5111111111111111,0.05111111111111111,0.1266666666666667,RLDDM_single_learning
120,30,0,observed,0.0,25108.88888888889,23.0,0.37777777777777777,0.5316,31.0,0.6444444444444445,0.37777777777777777,0.37777777777777777,0.0,0.0,RLDDM_single_learning
121,30,0,simulated,5.5,71870.0,23.0,0.6244444444444445,0.5106335354022489,31.0,0.58,0.7111111111111111,0.5333333333333333,0.08666666666666667,0.09111111111111114,RLDDM_single_learning
122,30,1,observed,0.0,25109.88888888889,23.0,0.1111111111111111,0.43724444444444444,31.0,0.6888888888888889,0.1111111111111111,0.1111111111111111,0.0,0.0,RLDDM_single_learning
